name,brand,cuisine,lat,lon,state,source
Buck's Diner,,,-33.323147,115.637122,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Joe's Pizza,,pizza,-33.362137,115.630167,Western Australia,OpenStreetMap amenity=fast_food via Overpass
,,,-33.362358,115.630095,Western Australia,OpenStreetMap amenity=fast_food via Overpass
McDonald's,McDonald's,burger,-33.35998,115.643494,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Paddy‘s Patties,,burger,-33.327768,115.654294,Western Australia,OpenStreetMap amenity=fast_food via Overpass
McDonald's,McDonald's,burger,-32.018016,115.935916,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Subway,Subway,sandwich,-32.056767,115.962862,Western Australia,OpenStreetMap amenity=fast_food via Overpass
A J`s Pizza,,pizza,-33.320357,115.715918,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Hero's Pizza,,pizza,-32.005918,115.859087,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Australind Deli,,,-33.279551,115.715473,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Australind Pizza,,,-33.279727,115.715247,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Minninup Road Fish and Chips,,,-33.362517,115.630143,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Hungry Jack's,Hungry Jack's,burger,-32.013718,115.846385,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Chicken Treat,Chicken Treat,chicken,-32.013499,115.846246,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Domino's,Domino's,pizza,-32.106542,115.826864,Western Australia,OpenStreetMap amenity=fast_food via Overpass
,,asian;japanese,-32.106816,115.827423,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Subway,Subway,sandwich,-32.106676,115.827861,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Domino's,Domino's,pizza,-32.013899,115.846046,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Domino's,Domino's,pizza,-32.040823,115.765843,Western Australia,OpenStreetMap amenity=fast_food via Overpass
,,,-32.133776,115.787456,Western Australia,OpenStreetMap amenity=fast_food via Overpass
