barrier,group,percent
Vegetable recommendation not met,All adults,93.5
Fruit recommendation not met,All adults,55.8
Food insecurity,Lowest income quintile,23.2
Food insecurity,Lone-parent households,34.0
Obesity,Lowest disadvantage quintile,35.4
Selected beverages consumed,"Children, lowest quintile",38.1
